INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
Beth Hamedrash Shaarei Yosher Institute,NULL,2884,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Phillips Beth Israel School of Nursing,NULL,37455,PrivacySuppressed,83000,74500
Hair Design Institute at Fifth Avenue-Brooklyn,NULL,19996,16700,15200,15500
Boricua College,NULL,21628,31300,27600,23200
Bramson ORT College,NULL,14628,27600,22200,18400
Briarcliffe College,NULL,14925,38200,32500,26000
Brittany Beauty School,NULL,15100,17000,16000,14600
American Beauty School,NULL,8200,PrivacySuppressed,PrivacySuppressed,13500
Brooklyn Law School,NULL,NULL,110700,91400,80400
SUNY Broome Community College,5696,NULL,30200,27200,22700
Bryant & Stratton College-Amherst,NULL,13893,22400,21500,20500
Bryant & Stratton College-Syracuse North,NULL,13938,22400,21500,20500
Bryant & Stratton College-Syracuse,NULL,13866,22400,21500,20500
Bryant & Stratton College-Buffalo,NULL,12179,22400,21500,20500
Bryant & Stratton College-Greece,NULL,12282,22400,21500,20500
Business Informatics Center Inc,NULL,27150,26700,23900,22400
Canisius College,NULL,20026,45700,40200,33900
Capri Cosmetology Learning Centers,NULL,15150,22700,19900,16900
St Paul's School of Nursing-Queens,NULL,28481,75800,75200,77500
Cayuga County Community College,6407,NULL,29700,25900,22400
Cazenovia College,NULL,16760,32100,33000,26700
Central Yeshiva Tomchei Tmimim Lubavitz,NULL,16478,22100,19300,14700
Cheryl Fells School of Business,NULL,13041,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Christ the King Seminary,NULL,NULL,NULL,NULL,NULL
Christine Valmy International School for Esthetics  Skin Care & Makeup,NULL,12721,NULL,NULL,NULL
Circle in the Square Theater School,NULL,40940,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Clarkson University,NULL,27629,68300,62600,53400
Clinton Community College,7598,NULL,30300,27300,24100
Cochran School of Nursing,NULL,NULL,86000,79000,73500
Colgate Rochester Crozer Divinity School,NULL,NULL,NULL,NULL,NULL
Colgate University,NULL,23146,60300,52500,44100
Metropolitan College of New York,NULL,21246,37000,31600,30100
Columbia University in the City of New York,NULL,22298,75200,70100,62700
Columbia-Greene Community College,6122,NULL,34500,30100,24300
Empire Beauty School-Queens,NULL,15965,14400,15000,14200
Concordia College-New York,NULL,17633,43200,39200,29800
Continental School of Beauty Culture-Buffalo,NULL,14112,15400,17000,16000
Continental School of Beauty Culture-Batavia,NULL,15804,15900,14000,13100
Continental School of Beauty Culture-Rochester,NULL,17230,18100,17100,16400
Cooper Union for the Advancement of Science and Art,NULL,11110,53800,52000,35700
Cornell University,NULL,29240,72100,64300,57300
Weill Cornell Medical College,NULL,NULL,72100,64300,57300
Corning Community College,7004,NULL,30100,27100,23500
Pomeroy College of Nursing at Crouse Hospital,NULL,15667,53700,52200,49900
Culinary Institute of America,NULL,30606,42200,37800,33800
CUNY Bernard M Baruch College,6841,NULL,54900,48200,40800
CUNY Borough of Manhattan Community College,7436,NULL,34500,30300,24900
CUNY Bronx Community College,8209,NULL,32100,30200,23500
CUNY Brooklyn College,6399,NULL,44500,37900,30400
College of Staten Island CUNY,9711,NULL,40600,34400,28600
CUNY City College,5917,NULL,45800,38400,30200
CUNY Graduate School and University Center,NULL,NULL,PrivacySuppressed,PrivacySuppressed,41100
CUNY Hostos Community College,6393,NULL,30700,27000,22900
CUNY Hunter College,7240,NULL,45000,39800,32500
CUNY John Jay College of Criminal Justice,5604,NULL,42400,36500,29800
CUNY Kingsborough Community College,6766,NULL,35300,29800,23200
CUNY LaGuardia Community College,8378,NULL,32600,29700,25000
CUNY Lehman College,2374,NULL,40400,37600,31700
CUNY Medgar Evers College,8590,NULL,35000,30300,24500
CUNY New York City College of Technology,6941,NULL,37500,33900,28100
CUNY Queens College,5998,NULL,47500,40700,32200
CUNY Queensborough Community College,4919,NULL,35600,31800,25400
CUNY School of Law,NULL,NULL,67100,68900,61500
CUNY York College,5630,NULL,38700,34700,30300
CVPH Medical Center School of Radiologic Technology,NULL,6916,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
D'Youville College,NULL,17971,48000,42000,39100
Daemen College,NULL,16663,38300,37500,33700
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NULL,2342,NULL,NULL,NULL
Dominican College of Blauvelt,NULL,20126,49500,41700,37000
Dowling College,NULL,23501,41700,36200,30600
Dutchess Community College,7088,NULL,32500,29700,25100
Belanger School of Nursing,NULL,12982,60200,47800,46900
Elmira Business Institute,NULL,21655,20900,19800,17000
Elmira College,NULL,24653,42500,36800,34900
Erie Community College,4729,NULL,32100,28900,24700
Fashion Institute of Technology,12442,NULL,45200,43800,39100
Finger Lakes Community College,10042,NULL,28600,27200,23300
Five Towns College,NULL,21764,33500,27000,22700
Fordham University,NULL,33972,56200,48900,42800
The International Culinary Center,NULL,58271,36600,35700,30000
Fulton-Montgomery Community College,8171,NULL,29800,27700,25000
Gemological Institute of America-New York,NULL,31929,38100,40100,37600
The General Theological Seminary,NULL,NULL,NULL,NULL,NULL
Genesee Community College,6771,NULL,29900,27000,23300
Gloria Francis School of Make-Up Artistry,NULL,21666,NULL,NULL,NULL
Hamilton College,NULL,23121,54800,51100,38900
Hartwick College,NULL,24387,41800,37500,31700
Helene Fuld College of Nursing,NULL,28926,84200,81400,72500
Herkimer County Community College,8205,NULL,29000,27600,22700
Hilbert College,NULL,15399,39800,36300,29500
Hobart William Smith Colleges,NULL,30108,48600,43600,37500
Hofstra University,NULL,30731,53100,45000,36700
Houghton College,NULL,21634,41800,33900,28100
Hudson Valley Community College,9229,NULL,35700,31800,26900
Hunter Business School,NULL,12662,24400,27400,21800
Institute of Design and Construction,NULL,6556,46700,30800,PrivacySuppressed
Institute of Audio Research,NULL,19958,29200,24900,21200
Iona College,NULL,25972,51800,46100,37600
Isabella Graham Hart School of Practical Nursing,NULL,NULL,36500,39300,32300
Island Drafting and Technical Institute,NULL,19485,42900,38300,39000
Ithaca College,NULL,33157,50400,43900,36800
Jamestown Community College,8527,NULL,28400,27200,22500
Jamestown Business College,NULL,8653,24200,21900,18500
Jefferson Community College,6074,NULL,30100,27200,22300
Jewish Theological Seminary of America,NULL,30892,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
The Juilliard School,NULL,28268,29000,26000,21100
SBI Campus-An Affiliate of Sanford-Brown,NULL,9796,33300,30300,26800
Kehilath Yakov Rabbinical Seminary,NULL,1881,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Keuka College,NULL,25546,42100,38300,33700
LIM College,NULL,34251,47300,41900,37700
Le Moyne College,NULL,21627,48500,42400,35000
LIU Brooklyn,NULL,22304,44600,41800,35800
LIU Post,NULL,28372,44600,41800,35800
Long Island Beauty School-Hempstead,NULL,13516,18800,17800,16100
Long Island Business Institute,NULL,14796,16500,17700,16100
LIU Hudson at Rockland,NULL,NULL,44600,41800,35800
LIU Brentwood,NULL,NULL,44600,41800,35800
Machzikei Hadath Rabbinical College,NULL,12048,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Mandl School-The College of Allied Health,NULL,16953,29700,26300,23400
Manhattan College,NULL,28117,61700,55700,48700
Manhattan School of Music,NULL,37753,19300,26100,18800
Manhattanville College,NULL,23162,47500,41000,34600
Maria College of Albany,NULL,7308,41800,37200,37700
Marion S Whelan School of Nursing of Geneva General Hospital,NULL,10180,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Marist College,NULL,33402,53300,47100,41800
MarJon School of Beauty ltd-Tonawanda,NULL,10610,18700,15600,16600
Marymount Manhattan College,NULL,34710,38100,35300,28900
Medaille College,NULL,14195,37900,35000,30200
Memorial College of Nursing,NULL,16895,45400,52500,53200
Memorial Hospital School of Radiation Therapy Technology,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Mercy College,NULL,14384,36800,34900,31600
Mesivta Torah Vodaath Rabbinical Seminary,NULL,8207,PrivacySuppressed,PrivacySuppressed,10600
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Mesivtha Tifereth Jerusalem of America,NULL,7637,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Southern Westchester BOCES-Practical Nursing Program,22731,NULL,58100,59400,52100
Midway Paris Beauty School,NULL,18002,15200,15200,13800
Mildred Elley School-Albany Campus,NULL,14045,23300,19300,18800
Mirrer Yeshiva Cent Institute,NULL,5433,12100,PrivacySuppressed,PrivacySuppressed
Modern Welding School,NULL,12830,34400,35900,31500
Mohawk Valley Community College,7224,NULL,30300,27000,23900
Molloy College,NULL,24045,55900,52500,53700
Monroe College,NULL,11896,27400,26400,24200
Monroe Community College,7341,NULL,31500,28400,24800
Mount Saint Mary College,NULL,23714,46800,42100,36200
College of Mount Saint Vincent,NULL,19587,50600,45100,36600
Icahn School of Medicine at Mount Sinai,NULL,NULL,150900,102400,63500
Nassau Community College,8070,NULL,36600,32800,27500
Nazareth College,NULL,26603,44200,39600,35000
Neighborhood Playhouse School of the Theater,NULL,25746,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
The College of New Rochelle,NULL,32414,35700,30400,26100
The New School,NULL,34825,40700,37500,34800
New School of Radio and Television,NULL,8620,30600,PrivacySuppressed,PrivacySuppressed
New York Chiropractic College,NULL,NULL,PrivacySuppressed,44700,PrivacySuppressed
Star Career Academy-New York,NULL,29860,PrivacySuppressed,PrivacySuppressed,19700
New York Law School,NULL,NULL,85900,86000,67800
New York Medical College,NULL,NULL,PrivacySuppressed,157000,65700
New York School for Medical and Dental Assistants,NULL,13558,31500,26400,26200
New York Theological Seminary,NULL,NULL,NULL,NULL,NULL
New York University,NULL,36991,58800,51900,45000
Niagara County Community College,6154,NULL,31300,29300,26200
Niagara University,NULL,19006,40900,37300,33000
Empire Beauty School-Peekskill,NULL,15822,PrivacySuppressed,11900,PrivacySuppressed
North Country Community College,9092,NULL,26500,27300,23600
New York College of Podiatric Medicine,NULL,NULL,62600,93300,PrivacySuppressed
New York Institute of Technology,NULL,25004,50300,46500,38700
New York School of Interior Design,NULL,36523,36500,42300,37200
Nyack College,NULL,19163,39300,37600,33800
Ohr Hameir Theological Seminary,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Onondaga Community College,8773,NULL,32300,28400,24400
Orange County Community College,5971,NULL,33000,31300,26200
Otsego Area BOCES-Practical Nursing Program,18194,NULL,PrivacySuppressed,PrivacySuppressed,29600
Pace University-New York,NULL,27403,57700,50600,43000
Paul Smiths College of Arts and Science,NULL,23828,32600,30500,27100
Continental School of Beauty Culture-West Seneca,NULL,15483,15400,17000,16000
Plaza College,NULL,11814,22400,20500,15700
Davis College,NULL,12283,28500,26100,22700
Pratt Institute-Main,NULL,39957,40900,35900,31800
Professional Business College,NULL,24146,18600,16100,14400
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NULL,6277,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rabbinical College Bobover Yeshiva Bnei Zion,NULL,5364,13600,12100,8400
Rabbinical College of Ch'san Sofer New York,NULL,15617,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rabbinical College Beth Shraga,NULL,9352,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rabbinical College of Long Island,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rabbinical Seminary of America,NULL,5588,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rensselaer Polytechnic Institute,NULL,33595,79600,69900,61400
Ridley-Lowell Business & Technical Institute-Binghamton,NULL,16304,25900,25000,22700
Roberts Wesleyan College,NULL,19182,42100,38000,32700
Everest Institute-Rochester,NULL,7732,22500,20900,18600
Rochester Institute of Technology,NULL,25256,59300,53600,45100
University of Rochester,NULL,26914,56400,51400,40900
Rockland Community College,9223,NULL,34500,31700,27300
Empire Beauty School-Manhattan,NULL,16930,16300,15300,14900
The Sage Colleges,NULL,16521,38900,38400,34700
St Bernard's School of Theology and Ministry,NULL,NULL,NULL,NULL,NULL
St Bonaventure University,NULL,22617,44100,40500,31500
St Francis College,NULL,14604,47200,37800,31700
St Joseph's College of Nursing at St Joseph's Hospital Health Center,NULL,23460,57600,56500,55300
St Lawrence University,NULL,27154,45500,43400,34100
The College of Saint Rose,NULL,23263,42800,37900,30900
St. Thomas Aquinas College,NULL,19789,45700,38500,31200
Samaritan Hospital School of Nursing,NULL,15351,45600,47900,44900
Sarah Lawrence College,NULL,33255,37000,37300,28300
Schenectady County Community College,4347,NULL,30400,27400,24200
Sh'or Yoshuv Rabbinical College,NULL,2550,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Siena College,NULL,24656,54200,48300,40500
Skidmore College,NULL,27173,43000,41000,35700
Saint Joseph's College-New York,NULL,15627,52000,44600,35400
Saint Vladimirs Orthodox Theological Seminary,NULL,NULL,NULL,NULL,NULL
Spanish-American Institute,NULL,NULL,19700,PrivacySuppressed,PrivacySuppressed
Saint Elizabeth College of Nursing,NULL,19792,56600,55200,56100
Saint John Fisher College,NULL,23666,45200,41400,38200
St Paul's School of Nursing-Staten Island,NULL,24838,74800,79800,PrivacySuppressed
St James Mercy Hospital School of Radiologic Science,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
St John's University-New York,NULL,28032,52700,46800,37200
New York Career Institute,NULL,14859,34200,30600,32400
Branford Hall Career Institute-Bohemia Campus,NULL,23584,27900,25800,23600
Sullivan County Community College,7524,NULL,30000,24200,21000
SUNY College of Technology at Alfred,15293,NULL,36900,35500,31400
SUNY College of Technology at Canton,12149,NULL,32600,31100,25300
SUNY College of Technology at Delhi,14339,NULL,35800,31500,28000
SUNY College of Agriculture and Technology at Cobleskill,15364,NULL,33700,29800,26000
Farmingdale State College,9516,NULL,46600,45400,36600
Morrisville State College,15904,NULL,31500,29200,25700
SUNY at Albany,16144,NULL,50100,43300,35200
SUNY at Binghamton,18536,NULL,57400,51600,41200
University at Buffalo,16293,NULL,48400,44800,38000
Stony Brook University,13519,NULL,55000,47500,37600
SUNY College of Environmental Science and Forestry,18321,NULL,42000,38800,31500
SUNY Polytechnic Institute,15920,NULL,49600,46000,37300
SUNY College at Brockport,14949,NULL,41300,37300,31200
SUNY Buffalo State,11899,NULL,38100,34200,29000
SUNY College at Cortland,18661,NULL,45000,39300,32900
SUNY at Fredonia,16708,NULL,39600,35800,28500
SUNY College at Geneseo,18305,NULL,46200,42200,35000
State University of New York at New Paltz,16353,NULL,43600,38200,31300
SUNY Oneonta,17209,NULL,42300,36800,30800
SUNY College at Oswego,16916,NULL,40800,36200,29600
SUNY College at Potsdam,15445,NULL,36700,33200,26800
